CodMun,Favela,Cortico,Lote_Irr,Ocupacao
1100015,-,-,-,-
1100023,Não,Não,Sim,Sim
1100031,Não,Não,Sim,Sim
1100049,Não,Não,Sim,Não
1100056,-,-,-,-
1100064,Não,Não,Sim,Não
1100072,Não,Não,Sim,Sim
1100080,Não,Não,Sim,Não
1100098,-,-,-,-
1100106,Sim,Não,Sim,Sim
1100114,Não,Não,Sim,Não
1100122,Não,Não,Sim,Não
1100130,Sim,Não,Sim,Não
1100148,-,-,-,-
1100155,Não,Não,Sim,Não
1100189,Não,Não,Sim,Não
1100205,Sim,Não,Sim,Sim
1100254,Não,Não,Sim,Não
1100262,Não,Não,Sim,Não
1100288,-,-,-,-
1100296,-,-,-,-
1100304,Não,Não,Sim,Não
1100320,Não,Não,Sim,Não
1100338,Não,Não,Sim,Não
1100346,-,-,-,-
1100379,Não,Não,Sim,Não
1100403,Não,Não,Sim,Não
1100452,Não,Não,Sim,Não
1100502,Não,Não,Sim,Não
1100601,-,-,-,-
1100700,Não,Não,Sim,Não
1100809,Não,Não,Sim,Não
1100908,Não,Não,Sim,Não
1100924,-,-,-,-
1100940,Sim,Não,Sim,Sim
1101005,-,-,-,-
1101104,-,-,-,-
1101203,-,-,-,-
1101302,Não,Não,Sim,Não
1101401,Não,Não,Sim,Não
1101435,Não,Não,Sim,Não
1101450,-,-,-,-
1101468,-,-,-,-
1101476,-,-,-,-
1101484,Não,Não,Sim,Não
1101492,Não,Não,Sim,Não
1101500,-,-,-,-
1101559,Não,Não,Sim,Não
1101609,Não,Não,Sim,Não
1101708,-,-,-,-
1101757,-,-,-,-
1101807,-,-,-,-
1200013,Não,Não,Sim,Não
1200054,Não,Não,Sim,Não
1200104,Não,Não,Sim,Não
1200138,Não,Não,Sim,Não
1200179,Não,Não,Sim,Não
1200203,Não,Não,Sim,Não
1200252,Não,Sim,Sim,Não
1200302,Não,Sim,Sim,Não
1200328,Não,Sim,Sim,Não
1200336,Não,Sim,Sim,Não
1200344,Não,Sim,Sim,Não
1200351,Sim,Não,Não,Não
1200385,Não,Não,Sim,Não
1200393,Não,Não,Sim,Não
1200401,Sim,Não,Sim,Não
1200427,Não,Sim,Não,Não
1200435,-,-,-,-
1200450,Não,Não,Sim,Não
1200500,Não,Não,Sim,Não
1200609,Não,Sim,Sim,Não
1200708,Não,Não,Sim,Sim
1200807,Sim,Não,Sim,Não
1300029,Não,Não,Sim,Não
1300060,Sim,Sim,Sim,Não
1300086,-,-,-,-
1300102,-,-,-,-
1300144,Não,Sim,Não,Não
1300201,-,-,-,-
1300300,Sim,Sim,Sim,Não
1300409,Sim,Sim,Não,Não
1300508,Não,Não,Sim,Não
1300607,Não,Não,Sim,Não
1300631,Sim,Sim,Sim,Não
1300680,Não,Não,Sim,Não
1300706,-,-,-,-
1300805,Sim,Sim,Sim,Sim
1300839,Sim,Não,Sim,Não
1300904,-,-,-,-
1301001,Sim,Não,Sim,Não
1301100,-,-,-,-
1301159,Não,Não,Sim,Não
1301209,Sim,Sim,Sim,Não
1301308,Sim,Sim,Sim,Não
1301407,Sim,Sim,Sim,Não
1301506,Sim,Não,Não,Não
1301605,-,-,-,-
1301654,Sim,Não,Sim,Não
1301704,Sim,Não,Sim,Sim
1301803,Sim,Não,Sim,Não
1301852,Sim,Não,Sim,Sim
1301902,Não,Não,Sim,Não
1301951,Sim,Não,Não,Não
1302009,-,-,-,-
1302108,-,-,-,-
1302207,Sim,Não,Não,Não
1302306,Sim,Não,Não,Não
1302405,Sim,Não,Não,Não
1302504,Sim,Não,Sim,Não
1302553,-,-,-,-
1302603,Sim,Não,Sim,Sim
1302702,Não,Não,Sim,Sim
1302801,Sim,Sim,Sim,Não
1302900,Não,Sim,Sim,Sim
1303007,Sim,Não,Não,Não
1303106,Sim,Sim,Sim,Não
1303205,Não,Não,Sim,Não
1303304,Sim,Não,Sim,Sim
1303403,Sim,Não,Não,Não
1303502,Sim,Não,Sim,Não
1303536,Sim,Não,Sim,Não
1303569,Não,Não,Sim,Sim
1303601,Sim,Não,Sim,Não
1303700,-,-,-,-
1303809,-,-,-,-
1303908,Sim,Não,Sim,Sim
1303957,Não,Não,Sim,Não
1304005,-,-,-,-
1304062,Sim,Não,Sim,Sim
1304104,Sim,Não,Não,Não
1304203,Sim,Não,Sim,Sim
1304237,Sim,Não,Sim,Não
1304260,-,-,-,-
1304302,-,-,-,-
1304401,Sim,Não,Sim,Não
1400027,Não,Não,Sim,Não
1400050,-,-,-,-
1400100,Sim,Sim,Sim,Sim
1400159,Não,Não,Sim,Sim
1400175,Não,Não,Sim,Não
1400209,Sim,Não,Sim,Não
1400233,-,-,-,-
1400282,Não,Não,Sim,Não
1400308,Não,Não,Sim,Sim
1400407,-,-,-,-
1400456,Não,Não,Sim,Não
1400472,Não,Não,Sim,Não
1400506,Não,Sim,Sim,Não
