CodMun,ImpacAmb_24meses,Secas_Enxurr,PoluiAr,Polui_corpoAgua,Assorea_corpoAgua,DiminVazao_corpoAgua,Desmatam,Queimad,Erosao_Desert,Dimin_FaunaFlora,MoradRiscoAmb,FaltaSaneamen
1100015,Não,-,-,-,-,-,-,-,-,-,-,-
1100023,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim
1100031,Não,-,-,-,-,-,-,-,-,-,-,-
1100049,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não
1100056,Não,-,-,-,-,-,-,-,-,-,-,-
1100064,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não
1100072,Não,-,-,-,-,-,-,-,-,-,-,-
1100080,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim
1100098,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim
1100106,Não,-,-,-,-,-,-,-,-,-,-,-
1100114,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim
1100122,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não
1100130,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim
1100148,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim
1100155,Não,-,-,-,-,-,-,-,-,-,-,-
1100189,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não
1100205,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não
1100254,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim
1100262,Não,-,-,-,-,-,-,-,-,-,-,-
1100288,Não,-,-,-,-,-,-,-,-,-,-,-
1100296,Não,-,-,-,-,-,-,-,-,-,-,-
1100304,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não
1100320,Não,-,-,-,-,-,-,-,-,-,-,-
1100338,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não
1100346,Não,-,-,-,-,-,-,-,-,-,-,-
1100379,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1100403,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim
1100452,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim
1100502,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não
1100601,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim
1100700,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim
1100809,Não,-,-,-,-,-,-,-,-,-,-,-
1100908,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não
1100924,Não,-,-,-,-,-,-,-,-,-,-,-
1100940,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não
1101005,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim
1101104,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim
1101203,Não,-,-,-,-,-,-,-,-,-,-,-
1101302,Não,-,-,-,-,-,-,-,-,-,-,-
1101401,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim
1101435,Não,-,-,-,-,-,-,-,-,-,-,-
1101450,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não
1101468,Não,-,-,-,-,-,-,-,-,-,-,-
