CodMun,MHAB01,MHAB03,MHAB04,MHAB06,MHAB07,MHAB071,MHAB081,MHAB082,MHAB083,MHAB084,MHAB085,MHAB086,MHAB087,MHAB088,MHAB089,MHAB09,MHAB091,MHAB10,MHAB101,MHAB102,MHAB111,MHAB112,MHAB113,MHAB114,MHAB12,MHAB16,MHAB161,MHAB17,MHAB18,MHAB181,MHAB182,MHAB183,MHAB191,MHAB192,MHAB193,MHAB194,MHAB195,MHAB201,MHAB202,MHAB203,MHAB204,MHAB205,MHAB206,MHAB207,MHAB208,MHAB21
1100015,Setor subordinado diretamente à chefia do Executivo ,Masculino,35,Ensino médio (2º Grau) completo ,Sim,O município não possui Plano Diretor,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,-,-,-,-,-,-,-,Não,-,-,Não,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,Sim
1100023,Não possui estrutura,-,-,-,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,-,Sim,2005,Tem maior representação governamental,Sim,Sim,Sim,Sim,10,Sim,Não,Sim,Sim,2006,Não,Não,Não,Não,Sim,Sim,-,Sim,Sim,Não,Não,Não,Não,Não,-,Sim
1100031,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,-,-,-,Não,Não,Sim,Sim,-,-,-,-,-,-,-,-,Sim,Não
1100049,Setor subordinado a outra secretaria,Feminino,38,Ensino superior completo,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,-,Sim,2008,Paritário,Não,Sim,Não,Não,8,Sim,Não,Não,Sim,2010,Não,Não,Não,Não,Sim,Não,-,Sim,Não,Não,Não,Não,Sim,Não,-,Sim
1100056,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Sim,Não,Sim,2010,Paritário,Sim,Sim,Não,Não,1,Não,-,-,Sim,2016,Sim,Não,-,-,-,-,Sim,Não,Não,Sim,Não,Não,Sim,Não,-,Não
1100064,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2012,Não,Sim,Não,Não,Sim,Não,-,Não,Não,Não,Não,Não,Não,Sim,-,Não
1100072,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,-,-,-,Não,Não,Sim,Sim,-,-,-,-,-,-,-,-,Sim,Não
1100080,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2010,Paritário,Sim,Não,Não,Sim,2,Não,-,-,Sim,2015,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não
1100098,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2012,Não,Sim,-,-,-,-,Sim,Sim,Não,Não,Não,Não,Não,Não,-,Não
1100106,Setor subordinado a outra secretaria,Masculino,42,Ensino superior completo,Não,-,-,-,-,-,-,-,-,-,-,Sim,O município não possui plano,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2015,Sim,Sim,Sim,Não,Sim,Sim,-,Sim,Não,Não,Não,Sim,Não,Não,-,Não
