CodMun,MMAM01,MMAM03,MMAM04,MMAM06,MMAM071,MMAM072,MMAM073,MMAM074,MMAM075,MMAM076,MMAM08,MMAM091,MMAM092,MMAM093,MMAM094,MMAM095,MMAM096,MMAM097,MMAM098,MMAM099,MMAM0910,MMAM0911,MMAM10,MMAM101,MMAM102,MMAM111,MMAM112,MMAM113,MMAM114,MMAM12,MMAM16,MMAM17,MMAM171,MMAM18,MMAM191,MMAM192,MMAM193,MMAM194,MMAM195,MMAM196,MMAM197,MMAM198,MMAM199,MMAM201,MMAM20011,MMAM202,MMAM2021,MMAM203,MMAM2031,MMAM204,MMAM2041,MMAM205,MMAM2051,MMAM206,MMAM2061,MMAM207,MMAM2071,MMAM208,MMAM2081,MMAM209,MMAM2091,MMAM2010,MMAM20101,MMAM2011,MMAM20111,MMAM2012,MMAM21,MMAM211,MMAM221,MMAM222,MMAM223,MMAM224,MMAM225,MMAM226,MMAM227,MMAM228,MMAM229,MMAM23,MMAM2311,MMAM2312,MMAM2313,MMAM2314,MMAM2315,MMAM2316,MMAM2317,MMAM241,MMAM242,MMAM243,MMAM244,MMAM245,MMAM246,MMAM247,MMAM25,MMAM261,MMAM262,MMAM263,MMAM264,MMAM265,MMAM266,MMAM267,MMAM268,MMAM269,MMAM2610,MMAM2611,MMAM2612,MMAM2613,MMAM2614
1100015,Não possui estrutura,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2003,Paritário,Sim,Não,Não,Não,0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,-,Sim,2014,Não,-,Sim,2008,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1100023,Secretaria exclusiva,Masculino,54,Ensino superior completo,25,15,0,10,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2007,Tem maior representação governamental,Sim,Sim,Sim,Sim,12,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,-,Sim,2009,Sim,2009,Não,-,Sim,2009,Sim,2009,Sim,2009,Sim,2009,Sim,2009,Sim,2009,Sim,2009,Não,-,-,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Não
1100031,Setor subordinado a outra secretaria,Masculino,47,Ensino fundamental (1º Grau) incompleto,1,1,0,0,0,0,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,Não,Não,-,-,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Sim,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1100049,Secretaria exclusiva,Masculino,32,Ensino superior incompleto,67,62,0,5,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2012,Tem maior representação governamental,Sim,Sim,Sim,Sim,12,Sim,Sim,Sim,Sim,-,-,-,-,-,-,-,-,Sim,Sim,2014,Sim,2006,Não,-,Sim,2014,Não,-,Sim,2014,Não,-,Sim,2014,Sim,2014,Não,-,Não,-,-,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Não,-,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não
1100056,Secretaria em conjunto com outras políticas setoriais,Masculino,62,Ensino fundamental (1º Grau) incompleto,5,4,0,1,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2012,Paritário,Não,Sim,Sim,Sim,4,Sim,Não,-,-,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2016,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1100064,Setor subordinado a outra secretaria,Masculino,40,Especialização,2,1,0,1,0,0,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,2003,Tem maior representação governamental,Sim,Sim,Não,Não,1,Não,Não,-,-,Sim,Não,Não,Sim,Não,Não,Não,Não,-,Sim,2013,Não,-,Não,-,Não,-,Sim,2013,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,-,Não,-,-,-,-,-,-,-,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não
1100072,Secretaria em conjunto com outras políticas setoriais,Masculino,32,Ensino médio (2º Grau) completo,18,15,0,2,0,1,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,Sim,Não,-,-,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Sim,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1100080,Setor subordinado a outra secretaria,Feminino,39,Ensino superior completo,2,1,0,1,0,0,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,Não,Não,-,-,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
1100098,Secretaria em conjunto com outras políticas setoriais,Masculino,28,Ensino superior completo,5,4,0,1,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2003,Tem maior representação da sociedade civil,Sim,Sim,Sim,Não,2,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,Sim,2012,Não,-,Não,-,Sim,2003,Não,-,Sim,2003,Sim,2003,Sim,2003,Sim,2003,Não,-,Não,-,-,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Sim,Não
1100106,Secretaria exclusiva,Masculino,38,Ensino superior completo,6,1,2,1,2,0,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,1991,Tem maior representação governamental,Sim,Sim,Não,Não,6,Não,Não,-,-,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,1991,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1100114,Secretaria em conjunto com outras políticas setoriais,Masculino,35,Especialização,5,5,0,0,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2010,Paritário,Sim,Sim,Sim,Sim,3,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,Sim,2013,Sim,2013,Não,-,Sim,2013,Sim,2013,Não,-,Sim,2013,Não,-,Sim,2013,Sim,2013,Não,-,-,Sim,Sim,-,-,-,-,-,-,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não
1100122,Secretaria exclusiva,Feminino,50,Ensino superior completo,18,9,0,8,0,1,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2001,Paritário,Sim,Sim,Não,Não,3,Não,Sim,Sim,Não,-,-,-,-,-,-,-,-,Sim,Sim,2010,Não,-,Não,-,Sim,2001,Não,-,Sim,2001,Não,-,Não,-,Não,-,Sim,2001,Não,-,-,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1100130,Secretaria em conjunto com outras políticas setoriais,Masculino,48,Ensino superior completo,6,4,0,2,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2011,Paritário,Sim,Sim,Não,Não,4,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,Sim,2012,Sim,2012,Não,-,Sim,2012,Sim,2012,Sim,2012,Sim,2012,Sim,2012,Não,-,Não,-,Não,-,-,Sim,Sim,-,-,-,-,-,-,-,-,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
1100148,Secretaria exclusiva,Masculino,47,Ensino superior completo,5,5,0,0,0,0,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,1993,Paritário,Sim,Não,Não,Não,0,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,Não,-,Sim,2011,Não,-,Sim,2011,Sim,2011,Sim,2011,Sim,2010,Não,-,Sim,2011,Sim,2011,Não,-,-,Não,-,Não,Não,Não,Não,Não,Não,Não,Sim,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim,Não
1100155,Setor subordinado a outra secretaria,Masculino,53,Ensino superior completo,5,4,1,0,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,Não,Não,-,-,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Sim,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1100189,Secretaria em conjunto com outras políticas setoriais,Masculino,32,Ensino superior completo,6,0,3,3,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2000,Paritário,Sim,Sim,Sim,Sim,3,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,Não,-,Sim,2011,Não,-,Sim,2008,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,-,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,-,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1100205,Secretaria exclusiva,Masculino,38,Mestrado,164,113,0,45,3,3,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,2001,Paritário,Sim,Sim,Sim,Sim,12,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Sim,-,Sim,2013,Não,-,Não,-,Sim,2001,Não,-,Não,-,Sim,2001,Sim,2001,Sim,2001,Sim,2001,Sim,2015,-,Não,-,Não,Não,Não,Não,Sim,Sim,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não
1100254,Secretaria em conjunto com outras políticas setoriais,Masculino,37,Mestrado,2,0,0,2,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2011,Paritário,Não,Sim,Não,Não,1,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,Sim,2014,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,-,Sim,Sim,-,-,-,-,-,-,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não
1100262,Secretaria em conjunto com outras políticas setoriais,Feminino,42,Ensino médio (2º Grau) completo,1,1,0,0,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,Não,Não,-,-,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1100288,Secretaria exclusiva,Masculino,26,Ensino superior completo,6,2,0,4,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2011,Paritário,Sim,Sim,Não,Não,6,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2013,Sim,2001,Não,-,Não,-,Sim,2013,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-
