CodMun,AtingidoPorSeca_4a,AtingidoPorAlagam_4a,AtingidoPorErosao_4a,AtingidoPorEnchente_4a,AtingidoPorEnxurrada_4a,AtingidoPorDeslizam_4a
1100015,Sim,Sim,Não,Sim,Sim,Não
1100023,Sim,Sim,Sim,Sim,Sim,Não
1100031,Não,Sim,Não,Sim,Não,Não
1100049,Não,Sim,Sim,Sim,Sim,Não
1100056,Não,Não,Não,Não,Não sabe,Não
1100064,Não,Sim,Não,Sim,Não,Não
1100072,Não,Sim,Não,Não,Não,Não
1100080,Não,Não,Não,Não,Não,Não
1100098,Não,Sim,Não,Sim,Não,Não
1100106,Sim,Sim,Não,Sim,Sim,Não
1100114,Não,Sim,Não,Sim,Sim,Sim
1100122,Não,Sim,Sim,Sim,Sim,Não
1100130,Não,Não,Não,Não,Não,Não
1100148,Não,Sim,Sim,Sim,Não,Não
1100155,Não,Não,Não,Não,Não,Não
1100189,Sim,Sim,Não,Sim,Sim,Sim
1100205,Sim,Sim,Sim,Sim,Não,Sim
1100254,Não,Não,Sim,Não,Não,Não
1100262,Não,Não,Não,Não,Não,Não
1100288,Não,Não,Não,Sim,Não,Não
1100296,Não,Não,Não,Não,Não sabe,Não
1100304,Não,Não,Sim,Não,Não,Não
1100320,Não,Não,Não,Não,Não,Não
1100338,Não,Sim,Não,Sim,Sim,Não
1100346,Não,Sim,Não,Não,Não,Não
1100379,Sim,Não sabe,Não,Não sabe,Não,Não
1100403,Não,Não,Não,Não,Não,Não
1100452,Não,Sim,Não,Sim,Sim,Não
1100502,Não,Não,Não,Não,Não,Não
1100601,Não,Não,Não,Sim,Não,Não
1100700,Não,Sim,Não,Sim,Não,Não
1100809,Não,Não,Não,Não,Não,Não
1100908,Sim,Sim,Sim,Não,Sim,Não
1100924,Não,Não,Não,Não,Não,Não
1100940,Não,Sim,Sim,Não,Sim,Não
1101005,Sim,Sim,Sim,Sim,Sim,Não
1101104,Não,Sim,Não,Sim,Sim,Não
1101203,Não,Não,Não,Não,Não,Não
1101302,Não,Não,Não,Não,Não,Não
1101401,Não,Sim,Não,Não,Sim,Não
1101435,Não,Não,Não,Não,Não,Não
1101450,Não,Não,Não,Não,Não,Não
1101468,Não,Não,Não,Não,Não,Não
1101476,Não,Não,Não sabe,Não,Não,Não
1101484,Não,Não,Não,Não,Não,Não
1101492,Não,Não,Não,Não,Não,Não
1101500,Não,Não,Não,Não,Não,Não
1101559,Não,Sim,Não,Não,Não,Não
1101609,Não,Não,Não,Não,Não,Não
1101708,Não,Não,Não,Não,Não,Não
1101757,Não,Não,Não,Não,Sim,Não
1101807,Não,Não,Não,Não,Não,Não
1200013,Não,Não,Não,Não,Não,Não
1200054,Sim,Sim,Sim,Sim,Não,Sim
1200104,Não,Não,Não,Sim,Não,Não
1200138,Sim,Não,Não,Não,Não,Não
1200179,Não,Sim,Não,Sim,Não,Não sabe
1200203,Não,Não,Não,Sim,Não,Não
1200252,Não,Não,Não,Sim,Não,Não
1200302,Não,Sim,Sim,Sim,Não,Não
1200328,Não,Sim,Não,Sim,Não,Não
1200336,Não,Não,Não,Sim,Não,Não
1200344,Não,Sim,Não,Não,Não,Não
1200351,Não,Não,Não,Sim,Não,Não
1200385,Não,Não,Não,Não,Não,Não
1200393,Não,Não,Não,Sim,Não,Não
1200401,Sim,Sim,Sim,Sim,Sim,Sim
1200427,Não,Não,Não,Sim,Não,Sim
1200435,Não,Sim,Não,Sim,Não,Não
1200450,Não,Não,Não,Não,Não,Não
1200500,Não,Sim,Não,Sim,Não,Não
1200609,Não,Sim,Sim,Sim,Não,Não
1200708,Não,Sim,Sim,Sim,Não,Sim
1200807,Sim,Sim,Não,Sim,Não,Sim
1300029,Sim,Sim,Não,Sim,Não,Não
1300060,Sim,Sim,Não,Sim,Não,Não
1300086,Sim,Sim,Sim,Sim,Não,Não
1300102,Sim,Sim,Não,Sim,Não sabe,Não
1300144,Não,Não,Não,Sim,Não,Não
1300201,Sim,Sim,Sim,Sim,Não,Sim
1300300,Sim,Não,Não,Sim,Não,Não
1300409,Sim,Não,Não,Não,Não,Não
1300508,Não,Sim,Sim,Sim,Não,Não sabe
1300607,Sim,Sim,Sim,Sim,Não,Sim
1300631,Não,Não,Não,Sim,Não,Não
1300680,Sim,Sim,Sim,Sim,Sim,Não
1300706,Sim,Não,Não,Sim,Não,Sim
1300805,Sim,Não,Não,Sim,Não,Não
