CodMun,Barco,Metro,Mototx,Taxi,Trem,Van,Aviao
1100015,Não,Não,Sim,Sim,Não,Não,Não
1100023,Não,Não,Sim,Sim,Não,Não,Não
1100031,Não,Não,Sim,Sim,Não,Não,Não
1100049,Não,Não,Sim,Sim,Não,Não,Não
1100056,Não,Não,Sim,Sim,Não,Sim,Não
1100064,Não,Não,Sim,Sim,Não,Não,Não
1100072,Não,Não,Sim,Sim,Não,Não,Não
1100080,Sim,Não,Sim,Sim,Não,Não,Não
1100098,Não,Não,Sim,Sim,Não,Não,Não
1100106,Não,Não,Sim,Sim,Não,Não,Não
1100114,Não,Não,Sim,Sim,Não,Não,Não
1100122,Não,Não,Sim,Sim,Não,Sim,Sim
1100130,Não,Não,Sim,Sim,Não,Não,Não
1100148,Não,Não,Sim,Sim,Não,Não,Não
1100155,Não,Não,Sim,Sim,Não,Não,Não
1100189,Não,Não,Sim,Sim,Não,Sim,Não
1100205,Sim,Não,Sim,Sim,Não,Sim,Sim
1100254,Não,Não,Sim,Sim,Não,Não,Não
1100262,Não,Não,Não,Sim,Não,Não,Não
1100288,Não,Não,Sim,Sim,Não,Sim,Não
1100296,Não,Não,Sim,Sim,Não,Não,Não
1100304,Não,Não,Sim,Sim,Não,Sim,Não
1100320,Não,Não,Sim,Sim,Não,Não,Não
1100338,Não,Não,Sim,Sim,Não,Não,Não
1100346,Não,Não,Sim,Sim,Não,Não,Não
1100379,Não,Não,Sim,Sim,Não,Não,Não
1100403,Não,Não,Não,Sim,Sim,Não,Não
1100452,Não,Não,Sim,Sim,Não,Não,Não
1100502,Não,Não,Sim,Sim,Não,Não,Não
1100601,Não,Não,Sim,Sim,Não,Não,Não
1100700,Não,Não,Sim,Sim,Não,Não,Não
1100809,Não,Não,Sim,Sim,Não,Não,Não
1100908,Não,Não,Não,Sim,Não,Não,Não
1100924,Não,Não,Sim,Sim,Não,Sim,Não
1100940,Não,Não,Sim,Não,Não,Não,Não
1101005,Não,Não,Sim,Sim,Não,Não,Não
1101104,Não,Não,Sim,Sim,Não,Não,Não
1101203,Não,Não,Não,Sim,Não,Não,Não
1101302,Não,Não,Sim,Sim,Não,Não,Não
1101401,Não,Não,Sim,Sim,Não,Não,Não
1101435,Não,Não,Sim,Sim,Não,Não,Não
1101450,Não,Não,Sim,Sim,Não,Não,Não
1101468,Não,Não,Sim,Sim,Não,Não,Não
1101476,Não,Não,Sim,Sim,Não,Não,Não
1101484,Não,Não,Sim,Sim,Não,Não,Não
1101492,Não,Não,Sim,Sim,Não,Não,Não
1101500,Não,Não,Sim,Sim,Não,Não,Não
1101559,Não,Não,Sim,Sim,Não,Não,Não
1101609,Não,Não,Sim,Sim,Não,Não,Não
1101708,Não,Não,Sim,Sim,Não,Não,Não
1101757,Não,Não,Sim,Não,Não,Não,Não
1101807,Não,Não,Sim,Sim,Não,Não,Não
1200013,Não,Não,Sim,Sim,Não,Não,Não
1200054,Sim,Não,Sim,Sim,Não,Não,Não
1200104,Não,Não,Sim,Sim,Não,Não,Não
1200138,Não,Não,Sim,Sim,Não,Não,Não
1200179,Não,Não,Sim,Não,Não,Não,Não
1200203,Sim,Não,Sim,Sim,Não,Não,Sim
