CodMun,CodMeso,MesoRegiao,NomeMun,UF,PopEst,Barco,Metro,Mototx,Taxi,Trem,Van,Aviao,ImpacAmb_24meses,Secas_Enxurr,PoluiAr,Polui_corpoAgua,Assorea_corpoAgua,DiminVazao_corpoAgua,Desmatam,Queimad,Erosao_Desert,Dimin_FaunaFlora,MoradRiscoAmb,FaltaSaneamen,Favela,Cortico,LoteIrr,Ocupacao,AtingidoPorSeca_4a,AtingPorAlagam_4a,AtingPorErosao_4a,AtingPorEnchen_4a,AtingPorEnxurr_4a,AtingPorDeslizam_4a,Rede,TxAprv_1-5 ,TxAprv_1,TxAprv_2,TxAprv_3,TxAprv_4,TxAprv_5,IndRend_P,Mat,Port,NtMedPadr_N,IDEB_NxP,FUNDEB,Total Matriculados,Custo Aluno
3100104,3105,Triângulo Mineiro / Alto Paranaíba,Abadia dos Dourados,MG,7059,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,-,-,-,-,Não,Não,Não,Não,Não,Não,Municipal,96.8,100.0,100.0,85.3,100.0,98.9,0.96,244.18,231.60,6.83,6.6,1879877.28,596.0,3154.16
3100104,3105,Triângulo Mineiro / Alto Paranaíba,Abadia dos Dourados,MG,7059,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,-,-,-,-,Não,Não,Não,Não,Não,Não,Pública,96.8,100.0,100.0,85.3,100.0,98.9,0.96,244.18,231.60,6.83,6.6,1879877.28,596.0,3154.16
3100203,3106,Central Mineira,Abaeté,MG,23611,Não,Não,Não,Sim,Não,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,Não,Não,Estadual,99.8,100.0,100.0,99.3,100.0,100.0,1.00,255.01,241.87,7.23,7.2,5926149.7,1814.0,3266.9
3100203,3106,Central Mineira,Abaeté,MG,23611,Não,Não,Não,Sim,Não,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,Não,Não,Municipal,99.0,98.3,100.0,100.0,99.1,97.9,0.99,238.57,232.04,6.74,6.7,5926149.7,1814.0,3266.9
3100203,3106,Central Mineira,Abaeté,MG,23611,Não,Não,Não,Sim,Não,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,Não,Não,Pública,99.5,99.0,100.0,99.6,99.6,99.3,0.99,249.64,238.66,7.07,7.0,5926149.7,1814.0,3266.9
3100302,3112,Zona da Mata,Abre Campo,MG,13733,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Estadual,100.0,100.0,100.0,100.0,100.0,100.0,1.00,246.48,236.46,6.97,7.0,2726339.2,809.0,3370.01
3100302,3112,Zona da Mata,Abre Campo,MG,13733,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Municipal,-,-,-,-,-,-,-,-,-,-,-,2726339.2,809.0,3370.01
3100302,3112,Zona da Mata,Abre Campo,MG,13733,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Pública,97.6,97.7,96.2,97.3,97.4,99.5,0.98,246.48,236.46,6.97,6.8,2726339.2,809.0,3370.01
3100401,3112,Zona da Mata,Acaiaca,MG,4065,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Municipal,100.0,100.0,100.0,100.0,100.0,100.0,1.00,231.57,222.84,6.43,6.4,1607122.54,520.0,3090.62
3100401,3112,Zona da Mata,Acaiaca,MG,4065,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Pública,100.0,100.0,100.0,100.0,100.0,100.0,1.00,231.57,222.84,6.43,6.4,1607122.54,520.0,3090.62
3100807,3109,Oeste de Minas,Aguanil,MG,4440,Não,Não,Não,Sim,Não,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Sim,Não,Não,Não sabe,Não sabe,Não sabe,Estadual,100.0,100.0,100.0,100.0,100.0,100.0,1.00,267.36,247.50,7.57,7.6,1844691.36,550.0,3353.98
3100807,3109,Oeste de Minas,Aguanil,MG,4440,Não,Não,Não,Sim,Não,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Sim,Não,Não,Não sabe,Não sabe,Não sabe,Municipal,100.0,100.0,100.0,100.0,100.0,100.0,1.00,-,-,-,-,1844691.36,550.0,3353.98
3100807,3109,Oeste de Minas,Aguanil,MG,4440,Não,Não,Não,Sim,Não,Sim,Não,Não,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Sim,Não,Sim,Não,Não,Não sabe,Não sabe,Não sabe,Pública,100.0,100.0,100.0,100.0,100.0,100.0,1.00,267.36,247.50,7.57,7.6,1844691.36,550.0,3353.98
3101102,3108,Vale do Rio Doce,Aimorés,MG,25711,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não sabe,Estadual,99.3,98.5,100.0,98.5,99.3,100.0,0.99,222.49,220.10,6.21,6.2,6928075.25,2254.0,3073.68
3101102,3108,Vale do Rio Doce,Aimorés,MG,25711,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não sabe,Municipal,99.6,100.0,99.2,99.3,100.0,99.1,1.00,229.35,220.05,6.34,6.3,6928075.25,2254.0,3073.68
3101102,3108,Vale do Rio Doce,Aimorés,MG,25711,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não sabe,Pública,99.4,99.3,99.6,98.9,99.7,99.6,0.99,225.28,220.08,6.26,6.2,6928075.25,2254.0,3073.68
3101201,3110,Sul / Sudoeste de Minas,Aiuruoca,MG,6209,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não,Não,Não,Municipal,89.1,93.8,94.9,77.8,92.1,89.7,0.89,252.80,245.31,7.25,6.5,1963701.76,624.0,3146.96
3101201,3110,Sul / Sudoeste de Minas,Aiuruoca,MG,6209,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não,Não,Não,Pública,89.1,93.8,94.9,77.8,92.1,89.7,0.89,252.80,245.31,7.25,6.5,1963701.76,624.0,3146.96
3101300,3110,Sul / Sudoeste de Minas,Alagoa,MG,2752,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,Não,Não,Municipal,88.2,100.0,69.8,93.8,90.6,93.3,0.88,263.35,236.00,7.28,6.4,1123296.31,358.0,3137.7
3101300,3110,Sul / Sudoeste de Minas,Alagoa,MG,2752,Não,Não,Não,Sim,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,Não,Não,Não,Não,Não,Pública,88.2,100.0,69.8,93.8,90.6,93.3,0.88,263.35,236.00,7.28,6.4,1123296.31,358.0,3137.7
3101409,3110,Sul / Sudoeste de Minas,Albertina,MG,3046,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,Sim,Não,Não,Sim,Não,Sim,Municipal,94.8,92.9,90.7,94.6,97.1,100.0,0.95,242.95,220.01,6.60,6.3,1497705.2,473.0,3166.4
3101409,3110,Sul / Sudoeste de Minas,Albertina,MG,3046,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,-,-,-,-,Sim,Não,Não,Sim,Não,Sim,Pública,94.8,92.9,90.7,94.6,97.1,100.0,0.95,242.95,220.01,6.60,6.3,1497705.2,473.0,3166.4
3101607,3110,Sul / Sudoeste de Minas,Alfenas,MG,79707,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Estadual,99.1,99.6,100.0,98.8,99.1,98.4,0.99,238.20,228.31,6.66,6.6,21684642.24,6596.0,3287.54
3101607,3110,Sul / Sudoeste de Minas,Alfenas,MG,79707,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Municipal,99.4,99.5,99.6,99.5,99.8,98.4,0.99,232.35,222.50,6.44,6.4,21684642.24,6596.0,3287.54
3101607,3110,Sul / Sudoeste de Minas,Alfenas,MG,79707,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Pública,99.3,99.6,99.7,99.2,99.5,98.4,0.99,235.56,225.68,6.56,6.5,21684642.24,6596.0,3287.54
