UF,Cod_Municipio,Nome_Municipio,Rede,Taxa_Aprovacao_1-5 ,Taxa_Aprovacao_1,Taxa_Aprovacao_2,Taxa_Aprovacao_3,Taxa_Aprovacao_4,Taxa_Aprovacao_5,Indicador_Rendimento_P,Matemática,Língua_Portuguesa,Nota_Media_Padronizada_N,IDEB_N_x_P
RO,1100015,Alta Floresta D'Oeste,Estadual,91.3,89.5,95.2,89.9,89.6,94.5,0.92,241.15,230.95,6.77,6.2
RO,1100015,Alta Floresta D'Oeste,Municipal,96.6,99.2,98.6,100.0,89.1,91.5,0.95,203.76,190.93,5.32,5.1
RO,1100015,Alta Floresta D'Oeste,Pública,94.3,98.7,98.4,95.4,89.4,93.5,0.95,233.74,223.02,6.48,6.2
RO,1100023,Ariquemes,Estadual,92.2,99.0,100.0,84.3,93.4,90.7,0.93,232.00,223.73,6.46,6.0
RO,1100023,Ariquemes,Municipal,90.8,98.1,98.9,83.4,88.6,88.3,0.91,216.35,208.09,5.88,5.4
RO,1100023,Ariquemes,Pública,91.0,98.2,99.1,83.6,89.4,88.9,0.91,220.40,212.13,6.03,5.5
RO,1100031,Cabixi,Estadual,-,-,-,-,-,-,-,-,-,-,-
RO,1100031,Cabixi,Municipal,94.0,100.0,100.0,89.1,90.4,95.3,0.95,238.96,215.01,6.43,6.1
RO,1100031,Cabixi,Pública,94.0,100.0,100.0,89.1,90.4,95.3,0.95,238.96,215.01,6.43,6.1
RO,1100049,Cacoal,Estadual,96.0,99.0,99.6,92.7,94.9,96.3,0.96,241.42,230.68,6.77,6.5
RO,1100049,Cacoal,Municipal,97.3,99.6,100.0,99.7,91.4,97.9,0.98,227.15,215.37,6.21,6.1
RO,1100049,Cacoal,Pública,96.8,99.4,99.9,97.1,92.8,97.2,0.97,234.29,223.04,6.49,6.3
RO,1100056,Cerejeiras,Estadual,94.3,100.0,100.0,90.2,90.3,97.2,0.95,274.73,253.09,7.81,7.4
RO,1100056,Cerejeiras,Municipal,94.8,100.0,100.0,85.6,95.6,94.0,0.95,228.46,220.58,6.33,6.0
RO,1100056,Cerejeiras,Pública,94.7,100.0,100.0,86.9,93.9,94.9,0.95,240.89,229.32,6.73,6.4
RO,1100064,Colorado do Oeste,Estadual,-,-,-,-,-,-,-,-,-,-,-
RO,1100064,Colorado do Oeste,Municipal,-,-,-,-,-,-,-,-,-,-,-
RO,1100064,Colorado do Oeste,Pública,94.6,100.0,100.0,88.4,91.2,97.5,0.95,239.48,228.60,6.69,6.4
RO,1100072,Corumbiara,Estadual,94.0,100.0,100.0,81.8,77.8,97.7,0.90,-,-,-,-
RO,1100072,Corumbiara,Municipal,90.9,94.9,96.6,80.1,89.4,98.0,0.91,225.86,215.55,6.19,5.7
RO,1100072,Corumbiara,Pública,91.3,95.6,96.7,80.3,88.8,97.9,0.91,225.86,215.55,6.19,5.7
RO,1100080,Costa Marques,Estadual,85.1,-,-,-,96.1,73.6,0.83,207.82,196.56,5.50,4.6
RO,1100080,Costa Marques,Municipal,84.4,97.8,97.8,72.8,81.5,79.9,0.85,219.18,203.32,5.84,5.0
RO,1100080,Costa Marques,Pública,84.5,97.8,97.8,72.8,84.2,78.4,0.85,214.48,200.52,5.70,4.8
RO,1100098,Espigão D'Oeste,Estadual,94.2,93.9,98.3,89.4,93.4,96.6,0.94,234.66,225.96,6.55,6.2
RO,1100098,Espigão D'Oeste,Municipal,95.9,100.0,99.6,89.2,95.6,96.3,0.96,225.71,214.96,6.18,5.9
RO,1100098,Espigão D'Oeste,Pública,95.1,97.8,99.0,89.3,94.5,96.5,0.95,231.00,221.47,6.40,6.1
RO,1100106,Guajará-Mirim,Estadual,84.4,99.2,99.4,65.1,84.3,92.5,0.86,212.06,208.94,5.81,5.0
RO,1100106,Guajará-Mirim,Municipal,90.7,97.4,98.0,77.1,90.6,94.9,0.91,203.22,193.68,5.36,4.9
RO,1100106,Guajará-Mirim,Pública,88.9,97.7,98.3,73.4,88.6,93.9,0.89,205.93,198.36,5.50,4.9
RO,1100114,Jaru,Estadual,97.8,100.0,100.0,98.0,97.4,97.5,0.99,235.37,228.18,6.60,6.5
RO,1100114,Jaru,Municipal,94.8,99.6,99.7,85.0,93.8,97.8,0.95,224.21,208.31,6.03,5.7
RO,1100114,Jaru,Pública,95.6,99.6,99.7,88.5,95.0,97.7,0.96,230.01,218.65,6.33,6.1
RO,1100122,Ji-Paraná,Estadual,94.8,99.3,99.7,89.7,93.8,94.4,0.95,226.81,215.80,6.22,5.9
RO,1100122,Ji-Paraná,Municipal,97.3,99.5,99.9,95.4,94.4,98.6,0.98,257.38,238.92,7.22,7.0
RO,1100122,Ji-Paraná,Pública,95.7,99.4,99.8,91.8,94.0,95.6,0.96,234.29,221.45,6.46,6.2
RO,1100130,Machadinho D'Oeste,Estadual,86.8,-,-,84.1,87.4,87.7,0.86,236.86,225.26,6.58,5.7
