Municipios,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Sér. Iniciais Urbana,Sér. Iniciais Rural,Sér. Finais Urbana,Sér. Finais Rural,Tempo Integral,Urbano,Rural,Tempo Integral.1,Integ. a Ed. Prof.,Educação Especial,AEE,Aval. no Proc.,Integ. à Ed. Prof. de nível médio,Educação Indigena/Quilombola,Creche Integral.1,Creche Parcial.1,Pré-Escola Integral.1,Pré-Escola Parcial.1,Ed. Especial,Ensino Fund. Sér. Finais Rural,Ensino Médio Rural,Ensino Médio Integ. à Ed. Prof.,Ed. Indíg./ Quil.,EJA - Aval. no Proc.,EJA - Int Ed. Profis. de Nível Médio,Total Matriculados
Abadia dos Dourados,52.0,0.0,0.0,119.0,306.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0
Abaeté,254.0,0.0,0.0,355.0,399.0,92.0,422.0,0.0,99.0,0.0,0.0,0.0,0.0,27.0,17.0,32.0,0.0,0.0,0.0,38.0,0.0,48.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1814.0
Abre Campo,6.0,32.0,26.0,198.0,0.0,315.0,0.0,164.0,12.0,0.0,0.0,0.0,0.0,17.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,809.0
Acaiaca,0.0,76.0,0.0,105.0,231.0,20.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,26.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0
Açucena,0.0,30.0,0.0,70.0,0.0,281.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.0
Água Boa,152.0,0.0,0.0,326.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0
Água Comprida,0.0,21.0,0.0,61.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0
Aguanil,106.0,0.0,0.0,103.0,0.0,85.0,219.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0
Águas Formosas,137.0,148.0,0.0,449.0,0.0,237.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1286.0
Águas Vermelhas,0.0,125.0,0.0,372.0,183.0,63.0,0.0,1.0,126.0,0.0,0.0,0.0,0.0,31.0,29.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.0
Aimorés,0.0,324.0,0.0,513.0,707.0,77.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2254.0
Aiuruoca,0.0,41.0,0.0,107.0,273.0,89.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0
Alagoa,0.0,0.0,0.0,45.0,166.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0
Albertina,34.0,0.0,0.0,78.0,198.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0
Além Paraíba,346.0,10.0,218.0,334.0,1156.0,67.0,354.0,0.0,200.0,0.0,0.0,0.0,0.0,13.0,6.0,87.0,0.0,0.0,127.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,3014.0
Alfenas,1129.0,234.0,340.0,1007.0,1636.0,202.0,952.0,132.0,131.0,0.0,0.0,0.0,0.0,222.0,154.0,349.0,0.0,0.0,32.0,0.0,0.0,6.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,6596.0
Alfredo Vasconcelos,0.0,0.0,0.0,138.0,348.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0
Almenara,75.0,169.0,42.0,838.0,1952.0,534.0,620.0,278.0,344.0,0.0,0.0,0.0,0.0,109.0,7.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5009.0
Alpercata,49.0,77.0,0.0,182.0,459.0,80.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087.0
Alpinópolis,102.0,0.0,0.0,338.0,576.0,88.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1306.0
Alterosa,58.0,92.0,16.0,281.0,795.0,0.0,50.0,0.0,144.0,0.0,0.0,0.0,0.0,32.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1589.0
Alto Caparaó,70.0,0.0,70.0,94.0,311.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.0
Alto Jequitibá,0.0,0.0,0.0,184.0,0.0,260.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,5.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0
Alto Rio Doce,0.0,63.0,0.0,237.0,406.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.0
Alvarenga,0.0,115.0,0.0,93.0,0.0,176.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0
Alvinópolis,0.0,27.0,0.0,157.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,40.0,0.0,0.0,118.0,0.0,96.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0
Alvorada de Minas,0.0,40.0,0.0,133.0,0.0,109.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0
Amparo do Serra,0.0,0.0,0.0,110.0,215.0,91.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0
Andradas,373.0,0.0,0.0,725.0,995.0,328.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,29.0,13.0,29.0,0.0,0.0,30.0,38.0,0.0,84.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.0
Andrelândia,37.0,0.0,0.0,202.0,1.0,0.0,0.0,0.0,976.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1248.0
Angelândia,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851.0
Antônio Carlos,0.0,26.0,0.0,251.0,218.0,90.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,17.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0
Antônio Dias,0.0,0.0,0.0,212.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0
Antônio Prado de Minas,0.0,14.0,0.0,28.0,67.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0
Araçaí,0.0,24.0,0.0,48.0,138.0,0.0,144.0,0.0,29.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0
Aracitaba,0.0,0.0,0.0,29.0,69.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0
Araçuaí,0.0,165.0,0.0,734.0,281.0,335.0,0.0,297.0,136.0,0.0,0.0,0.0,0.0,19.0,5.0,28.0,0.0,40.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2073.0
