Municipios,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Sér. Iniciais Urbana,Sér. Iniciais Rural,Sér. Finais Urbana,Sér. Finais Rural,Tempo Integral,Urbano,Rural,Tempo Integral,Integ. a Ed. Prof.,Educação Especial,AEE,Aval. no Proc.,Integ. à Ed. Prof. de nível médio,Educação Indigena/Quilombola,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Ed. Especial,Ensino Fund. Sér. Finais Rural,Ensino Médio Rural,Ensino Médio Integ. à Ed. Prof.,Ed. Indíg./ Quil.,EJA - Aval. no Proc.,EJA - Int Ed. Profis. de Nível Médio
Abadia dos Dourados,52.00,0.00,0.00,119.00,306.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,19.50,0.00,0.00,0.00,0.00,0.00,0.00
Abaeté,254.00,0.00,0.00,355.00,399.00,92.00,422.00,0.00,99.00,0.00,0.00,0.00,0.00,27.00,17.00,32.00,0.00,0.00,0.00,38.00,0.00,48.00,31.50,0.00,0.00,0.00,0.00,0.00,0.00
Abre Campo,6.00,32.00,26.00,198.00,0.00,315.00,0.00,164.00,12.00,0.00,0.00,0.00,0.00,17.00,5.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00
Acaiaca,0.00,76.00,0.00,105.00,231.00,20.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,26.00,9.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Açucena,0.00,30.00,0.00,70.00,0.00,281.00,0.00,205.00,0.00,0.00,0.00,0.00,0.00,5.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Água Boa,152.00,0.00,0.00,326.00,0.00,296.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,51.00,0.00,0.00,0.00,0.00,0.00,0.00
Água Comprida,0.00,21.00,0.00,61.00,121.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aguanil,106.00,0.00,0.00,103.00,0.00,85.00,219.00,0.00,5.00,0.00,0.00,0.00,0.00,11.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Águas Formosas,137.00,148.00,0.00,449.00,0.00,237.00,0.00,163.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00,71.00,0.00,0.00,0.00,0.00,0.00,0.00
Águas Vermelhas,0.00,125.00,0.00,372.00,183.00,63.00,0.00,1.00,126.00,0.00,0.00,0.00,0.00,31.00,29.00,51.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aimorés,0.00,324.00,0.00,513.00,707.00,77.00,494.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,71.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00
Aiuruoca,0.00,41.00,0.00,107.00,273.00,89.00,0.00,78.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00
Alagoa,0.00,0.00,0.00,45.00,166.00,0.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
