Município,Ano,Transferência,Valor Consolidado
Abadia dos Dourados,2017,FUNDEB,1879877.28
Abaeté,2017,FUNDEB,5926149.70
Abre Campo,2017,FUNDEB,2726339.20
Acaiaca,2017,FUNDEB,1607122.54
Açucena,2017,FUNDEB,2037360.02
Água Boa,2017,FUNDEB,3088411.10
Água Comprida,2017,FUNDEB,618215.34
Aguanil,2017,FUNDEB,1844691.36
Águas Formosas,2017,FUNDEB,4177538.93
Águas Vermelhas,2017,FUNDEB,3079644.35
Aimorés,2017,FUNDEB,6928075.25
Aiuruoca,2017,FUNDEB,1963701.76
Alagoa,2017,FUNDEB,1123296.31
Albertina,2017,FUNDEB,1497705.20
Além Paraíba,2017,FUNDEB,9892361.29
Alfenas,2017,FUNDEB,21684642.24
Alfredo Vasconcelos,2017,FUNDEB,1935551.08
Almenara,2017,FUNDEB,16050899.46
Alpercata,2017,FUNDEB,3408532.02
Alpinópolis,2017,FUNDEB,4204858.68
Alterosa,2017,FUNDEB,5012170.41
Alto Caparaó,2017,FUNDEB,2274396.29
Alto Jequitibá,2017,FUNDEB,1824595.26
Alto Rio Doce,2017,FUNDEB,2574046.10
Alvarenga,2017,FUNDEB,1326459.15
Alvinópolis,2017,FUNDEB,2772398.31
Alvorada de Minas,2017,FUNDEB,1211239.16
Amparo do Serra,2017,FUNDEB,1666926.27
Andradas,2017,FUNDEB,9785024.18
Andrelândia,2017,FUNDEB,4627836.10
Angelândia,2017,FUNDEB,3107417.83
Antônio Carlos,2017,FUNDEB,2316156.15
Antônio Dias,2017,FUNDEB,1990170.47
Antônio Prado de Minas,2017,FUNDEB,440139.15
Araçaí,2017,FUNDEB,1281613.15
Aracitaba,2017,FUNDEB,439597.15
Araçuaí,2017,FUNDEB,6702417.70
Araguari,2017,FUNDEB,22192963.21
Arantina,2017,FUNDEB,1636495.57
Araponga,2017,FUNDEB,1457302.55
Araporã,2017,FUNDEB,4516800.60
Arapuá,2017,FUNDEB,812987.06
Araújos,2017,FUNDEB,3193255.11
Araxá,2017,FUNDEB,30113879.73
Arceburgo,2017,FUNDEB,3954873.33
Arcos,2017,FUNDEB,10451589.35
Areado,2017,FUNDEB,4605735.78
Argirita,2017,FUNDEB,1389504.40
