Mun,MesoRegiao,Cod_Meso
Abadia dos Dourados,Triângulo Mineiro / Alto Paranaíba,3105
Abaeté,Central Mineira,3106
Abre Campo,Zona da Mata,3112
Acaiaca,Zona da Mata,3112
Açucena,Vale do Rio Doce,3108
Água Boa,Vale do Rio Doce,3108
Água Comprida,Triângulo Mineiro / Alto Paranaíba,3105
Aguanil,Oeste de Minas,3109
Águas Formosas,Vale do Mucuri,3104
Águas Vermelhas,Norte de Minas,3102
Aimorés,Vale do Rio Doce,3108
Aiuruoca,Sul / Sudoeste de Minas,3110
Alagoa,Sul / Sudoeste de Minas,3110
Albertina,Sul / Sudoeste de Minas,3110
Além Paraíba,Zona da Mata,3112
Alfenas,Sul / Sudoeste de Minas,3110
Alfredo Vasconcelos,Campo das Vertentes,3111
Almenara,Jequitinhonha,3103
Alpercata,Vale do Rio Doce,3108
Alpinópolis,Sul / Sudoeste de Minas,3110
Alterosa,Sul / Sudoeste de Minas,3110
Alto Caparaó,Zona da Mata,3112
Alto Jequitibá,Zona da Mata,3112
Alto Rio Doce,Zona da Mata,3112
Alvarenga,Vale do Rio Doce,3108
Alvinópolis,Metropolitana de Belo Horizonte,3107
Alvorada de Minas,Metropolitana de Belo Horizonte,3107
Amparo do Serra,Zona da Mata,3112
Andradas,Sul / Sudoeste de Minas,3110
Andrelândia,Sul / Sudoeste de Minas,3110
Angelândia,Jequitinhonha,3103
Antônio Carlos,Campo das Vertentes,3111
Antônio Dias,Vale do Rio Doce,3108
Antônio Prado de Minas,Zona da Mata,3112
Araçaí,Metropolitana de Belo Horizonte,3107
Aracitaba,Zona da Mata,3112
Araçuaí,Jequitinhonha,3103
Araguari,Triângulo Mineiro / Alto Paranaíba,3105
Arantina,Sul / Sudoeste de Minas,3110
Araponga,Zona da Mata,3112
Araporã,Triângulo Mineiro / Alto Paranaíba,3105
Arapuá,Triângulo Mineiro / Alto Paranaíba,3105
Araújos,Central Mineira,3106
Araxá,Triângulo Mineiro / Alto Paranaíba,3105
Arceburgo,Sul / Sudoeste de Minas,3110
Arcos,Oeste de Minas,3109
Areado,Sul / Sudoeste de Minas,3110
Argirita,Zona da Mata,3112
Aricanduva,Jequitinhonha,3103
Arinos,Noroeste de Minas,3101
Astolfo Dutra,Zona da Mata,3112
Ataléia,Vale do Mucuri,3104
Augusto de Lima,Central Mineira,3106
Baependi,Sul / Sudoeste de Minas,3110
Baldim,Metropolitana de Belo Horizonte,3107
Bambuí,Oeste de Minas,3109
Bandeira,Jequitinhonha,3103
Bandeira do Sul,Sul / Sudoeste de Minas,3110
Barão de Cocais,Metropolitana de Belo Horizonte,3107
Barão de Monte Alto,Zona da Mata,3112
Barbacena,Campo das Vertentes,3111
Barra Longa,Zona da Mata,3112
Barroso,Campo das Vertentes,3111
Bela Vista de Minas,Metropolitana de Belo Horizonte,3107
Belmiro Braga,Zona da Mata,3112
Belo Horizonte,Metropolitana de Belo Horizonte,3107
Belo Oriente,Vale do Rio Doce,3108
Belo Vale,Metropolitana de Belo Horizonte,3107
Berilo,Jequitinhonha,3103
Berizal,Norte de Minas,3102
Bertópolis,Vale do Mucuri,3104
Betim,Metropolitana de Belo Horizonte,3107
Bias Fortes,Zona da Mata,3112
Bicas,Zona da Mata,3112
Biquinhas,Central Mineira,3106
Boa Esperança,Sul / Sudoeste de Minas,3110
Bocaina de Minas,Sul / Sudoeste de Minas,3110
Bocaiúva,Norte de Minas,3102
Bom Despacho,Central Mineira,3106
Bom Jardim de Minas,Sul / Sudoeste de Minas,3110
Bom Jesus da Penha,Sul / Sudoeste de Minas,3110
Bom Jesus do Amparo,Metropolitana de Belo Horizonte,3107
Bom Jesus do Galho,Vale do Rio Doce,3108
Bom Repouso,Sul / Sudoeste de Minas,3110
Bom Sucesso,Oeste de Minas,3109
Bonfim,Metropolitana de Belo Horizonte,3107
Bonfinópolis de Minas,Noroeste de Minas,3101
Bonito de Minas,Norte de Minas,3102
Borda da Mata,Sul / Sudoeste de Minas,3110
Botelhos,Sul / Sudoeste de Minas,3110
Botumirim,Norte de Minas,3102
Brás Pires,Zona da Mata,3112
Brasilândia de Minas,Noroeste de Minas,3101
