REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP,Rede,Taxa de Aprovação - 2017,"IDEB
2017
(N x P)"
3 - Sudeste,31,MG,Abadia dos Dourados,7059,2 - 5001 até 10000,Municipal,"96,8","6,6"
3 - Sudeste,31,MG,Abadia dos Dourados,7059,2 - 5001 até 10000,Pública,"96,8","6,6"
3 - Sudeste,31,MG,Abaeté,23611,4 - 20001 até 50000,Estadual,"99,8","7,2"
3 - Sudeste,31,MG,Abaeté,23611,4 - 20001 até 50000,Municipal,"99,0","6,7"
3 - Sudeste,31,MG,Abaeté,23611,4 - 20001 até 50000,Pública,"99,5","7,0"
3 - Sudeste,31,MG,Abre Campo,13733,3 - 10001 até 20000,Estadual,"100,0","7,0"
3 - Sudeste,31,MG,Abre Campo,13733,3 - 10001 até 20000,Municipal,-,-
3 - Sudeste,31,MG,Abre Campo,13733,3 - 10001 até 20000,Pública,"97,6","6,8"
3 - Sudeste,31,MG,Acaiaca,4065,1 - Até 5000,Municipal,"100,0","6,4"
3 - Sudeste,31,MG,Acaiaca,4065,1 - Até 5000,Pública,"100,0","6,4"
3 - Sudeste,31,MG,Açucena,9997,2 - 5001 até 10000,Estadual,"98,6","5,8"
3 - Sudeste,31,MG,Açucena,9997,2 - 5001 até 10000,Pública,"99,0","5,8"
3 - Sudeste,31,MG,Água Boa,14370,3 - 10001 até 20000,Estadual,"98,2","6,6"
3 - Sudeste,31,MG,Água Boa,14370,3 - 10001 até 20000,Municipal,-,-
3 - Sudeste,31,MG,Água Boa,14370,3 - 10001 até 20000,Pública,"97,9","6,6"
3 - Sudeste,31,MG,Água Comprida,2058,1 - Até 5000,Municipal,"93,0","5,7"
3 - Sudeste,31,MG,Água Comprida,2058,1 - Até 5000,Pública,"93,0","5,7"
3 - Sudeste,31,MG,Aguanil,4440,1 - Até 5000,Estadual,"100,0","7,6"
3 - Sudeste,31,MG,Aguanil,4440,1 - Até 5000,Municipal,"100,0",-
3 - Sudeste,31,MG,Aguanil,4440,1 - Até 5000,Pública,"100,0","7,6"
3 - Sudeste,31,MG,Águas Formosas,19416,3 - 10001 até 20000,Estadual,"99,9","6,1"
3 - Sudeste,31,MG,Águas Formosas,19416,3 - 10001 até 20000,Municipal,-,-
3 - Sudeste,31,MG,Águas Formosas,19416,3 - 10001 até 20000,Pública,"98,7","6,1"
3 - Sudeste,31,MG,Águas Vermelhas,13576,3 - 10001 até 20000,Estadual,"99,8","6,2"
3 - Sudeste,31,MG,Águas Vermelhas,13576,3 - 10001 até 20000,Municipal,"98,1","5,9"
3 - Sudeste,31,MG,Águas Vermelhas,13576,3 - 10001 até 20000,Pública,"99,1","6,1"
3 - Sudeste,31,MG,Aimorés,25711,4 - 20001 até 50000,Estadual,"99,3","6,2"
3 - Sudeste,31,MG,Aimorés,25711,4 - 20001 até 50000,Municipal,"99,6","6,3"
3 - Sudeste,31,MG,Aimorés,25711,4 - 20001 até 50000,Pública,"99,4","6,2"
3 - Sudeste,31,MG,Aiuruoca,6209,2 - 5001 até 10000,Municipal,"89,1","6,5"
3 - Sudeste,31,MG,Aiuruoca,6209,2 - 5001 até 10000,Pública,"89,1","6,5"
3 - Sudeste,31,MG,Alagoa,2752,1 - Até 5000,Municipal,"88,2","6,4"
3 - Sudeste,31,MG,Alagoa,2752,1 - Até 5000,Pública,"88,2","6,4"
3 - Sudeste,31,MG,Albertina,3046,1 - Até 5000,Municipal,"94,8","6,3"
3 - Sudeste,31,MG,Albertina,3046,1 - Até 5000,Pública,"94,8","6,3"
3 - Sudeste,31,MG,Além Paraíba,35866,4 - 20001 até 50000,Estadual,"99,6","5,5"
3 - Sudeste,31,MG,Além Paraíba,35866,4 - 20001 até 50000,Municipal,"94,9","6,0"
3 - Sudeste,31,MG,Além Paraíba,35866,4 - 20001 até 50000,Pública,"95,5","5,9"
3 - Sudeste,31,MG,Alfenas,79707,5 - 50001 até 100000,Estadual,"99,1","6,6"
3 - Sudeste,31,MG,Alfenas,79707,5 - 50001 até 100000,Municipal,"99,4","6,4"
3 - Sudeste,31,MG,Alfenas,79707,5 - 50001 até 100000,Pública,"99,3","6,5"
3 - Sudeste,31,MG,Alfredo Vasconcelos,6775,2 - 5001 até 10000,Municipal,"99,8","7,3"
3 - Sudeste,31,MG,Alfredo Vasconcelos,6775,2 - 5001 até 10000,Pública,"99,8","7,3"
3 - Sudeste,31,MG,Almenara,41794,4 - 20001 até 50000,Estadual,-,-
3 - Sudeste,31,MG,Almenara,41794,4 - 20001 até 50000,Municipal,"89,5","4,7"
3 - Sudeste,31,MG,Almenara,41794,4 - 20001 até 50000,Pública,"89,5","4,7"
3 - Sudeste,31,MG,Alpercata,7515,2 - 5001 até 10000,Municipal,"97,9","4,7"
3 - Sudeste,31,MG,Alpercata,7515,2 - 5001 até 10000,Pública,"97,9","4,7"
3 - Sudeste,31,MG,Alpinópolis,19846,3 - 10001 até 20000,Estadual,"100,0","7,2"
3 - Sudeste,31,MG,Alpinópolis,19846,3 - 10001 até 20000,Municipal,"99,9","6,4"
3 - Sudeste,31,MG,Alpinópolis,19846,3 - 10001 até 20000,Pública,"99,9","6,6"
3 - Sudeste,31,MG,Alterosa,14551,3 - 10001 até 20000,Estadual,-,-
3 - Sudeste,31,MG,Alterosa,14551,3 - 10001 até 20000,Municipal,"100,0","7,0"
3 - Sudeste,31,MG,Alterosa,14551,3 - 10001 até 20000,Pública,"100,0","7,0"
3 - Sudeste,31,MG,Alto Caparaó,5791,2 - 5001 até 10000,Estadual,-,-
3 - Sudeste,31,MG,Alto Caparaó,5791,2 - 5001 até 10000,Municipal,"90,5","6,4"
3 - Sudeste,31,MG,Alto Caparaó,5791,2 - 5001 até 10000,Pública,"90,5","6,4"
3 - Sudeste,31,MG,Alto Rio Doce,11693,3 - 10001 até 20000,Estadual,"99,4","6,3"
3 - Sudeste,31,MG,Alto Rio Doce,11693,3 - 10001 até 20000,Municipal,"94,6","6,6"
3 - Sudeste,31,MG,Alto Rio Doce,11693,3 - 10001 até 20000,Pública,"95,7","6,5"
3 - Sudeste,31,MG,Alvarenga,4199,1 - Até 5000,Estadual,"100,0","7,1"
3 - Sudeste,31,MG,Alvarenga,4199,1 - Até 5000,Pública,"99,4","7,1"
3 - Sudeste,31,MG,Alvinópolis,15599,3 - 10001 até 20000,Estadual,"98,5","6,0"
3 - Sudeste,31,MG,Alvinópolis,15599,3 - 10001 até 20000,Municipal,"99,8","6,5"
3 - Sudeste,31,MG,Alvinópolis,15599,3 - 10001 até 20000,Pública,"99,1","6,2"
3 - Sudeste,31,MG,Alvorada de Minas,3673,1 - Até 5000,Estadual,"100,0","5,1"
3 - Sudeste,31,MG,Alvorada de Minas,3673,1 - Até 5000,Pública,"100,0","5,1"
3 - Sudeste,31,MG,Amparo do Serra,4924,1 - Até 5000,Estadual,-,-
3 - Sudeste,31,MG,Amparo do Serra,4924,1 - Até 5000,Municipal,"91,0","6,4"
3 - Sudeste,31,MG,Amparo do Serra,4924,1 - Até 5000,Pública,"91,0","6,4"
3 - Sudeste,31,MG,Andradas,40706,4 - 20001 até 50000,Estadual,"99,7","6,7"
3 - Sudeste,31,MG,Andradas,40706,4 - 20001 até 50000,Municipal,"99,7","7,1"
